,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,THB100,PHP100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
4-Jan-16,4.349,6.4235,4.7506,3.6545,4.3722,3.1395,3.1211,3.0547,56.1093,12.0271,9.2316,13.1308,0.3657,0.0312,115.9115,6.0265,0.666,3.0545,0.0193,0.1069,2.9412,0.335,6.5335,118.403,4.1484,4.0833,0.5554
5-Jan-16,4.3425,6.3776,4.6853,3.644,4.3194,3.1212,3.117,3.048,56.0239,12.0224,9.2541,13.109,0.365,0.0313,115.7383,6.0256,0.6657,3.048,0.0193,0.1067,2.9136,0.3353,6.5225,118.2244,4.1404,4.0768,0.5546
6-Jan-16,4.3925,6.4293,4.716,3.7041,4.3527,3.113,3.1187,3.0617,56.665,12.1239,9.3413,13.206,0.366,0.0315,117.0085,6.0597,0.6699,3.0618,0.0196,0.1079,2.9195,0.3394,6.5707,119.5857,4.1895,4.1082,0.561
7-Jan-16,4.3935,6.4073,4.7467,3.7358,4.3695,3.0875,3.1084,3.0574,56.6713,12.11,9.331,13.1983,0.3663,0.0315,117.004,6.0614,0.6667,3.0572,0.0195,0.1079,2.9177,0.3398,6.5773,119.6129,4.1881,4.1112,0.5611
8-Jan-16,4.385,6.4093,4.7672,3.7043,4.3854,3.0846,3.107,3.0512,56.5092,12.0766,9.2903,13.1482,0.3655,0.0315,116.7466,6.0703,0.6656,3.0513,0.0195,0.1078,2.9123,0.3394,6.5698,119.3815,4.1798,4.1062,0.56
11-Jan-16,4.375,6.3739,4.762,3.7122,4.3835,3.0645,3.0984,3.0469,56.3938,12.0623,9.2534,13.1249,0.3631,0.0315,116.5734,6.0565,0.6655,3.0464,0.0195,0.1079,2.8715,0.3391,6.5577,119.1108,4.1704,4.0985,0.5587
12-Jan-16,4.4075,6.4067,4.7976,3.7522,4.4172,3.0674,3.0931,3.0625,56.8072,12.1285,9.2936,13.1764,0.3636,0.0317,117.4191,6.1069,0.6703,3.0625,0.0197,0.1086,2.8779,0.3417,6.5847,119.9956,4.2018,4.1155,0.5629
13-Jan-16,4.379,6.3307,4.7394,3.7015,4.3531,3.08,3.0834,3.054,56.4308,12.08,9.2117,13.1224,0.364,0.0317,116.6179,6.0524,0.6659,3.0535,0.0195,0.1079,2.8785,0.34,6.5544,119.223,4.1745,4.0965,0.5593
14-Jan-16,4.39,6.326,4.7906,3.7293,4.3671,3.0434,3.0547,3.05,56.4736,12.097,9.1899,13.0992,0.3615,0.0316,117.0667,6.0581,0.6662,3.0503,0.0196,0.1081,2.8432,0.3398,6.5371,119.5192,4.1843,4.0856,0.5607
15-Jan-16,4.4,6.3171,4.7964,3.749,4.3871,3.0307,3.0326,3.0514,56.4584,12.1079,9.2166,13.0974,0.362,0.0317,117.36,6.0937,0.668,3.0507,0.0196,0.1084,2.818,0.34,6.5171,119.7964,4.1943,4.0731,0.5619
